"Show last %1 %2 log records","Geef de laatste %1 %2 log regels weer"
"Log is empty","Log is leeg"
"Unable to login","Er is iets fout gegaan tijdens het inloggen"
"You have successfully logged in","U bent succesvol ingelogd"
"Something went wrong","Er is iets misgegaan"
"Unable to add shipping method to the cart: %1","Het is niet gelukt de verzendkosten aan de winkelwagen toe te voegen: %1"
"Unable to export cart, session data missing","Het exporteren van de winkelwagen is mislukt wegens ontbrekende sessie data"
"%1 not set or empty","%1 bestaat niet of bevat een lege waarde"
"Invalid API-key","Invalid API-key"
"No active customer found for %1","Geen actieve klant gevonden voor %1"
"Manual & Support","Handleiding & ondersteuning"
"Close window","Sluit venster"
"Download as .txt file","Download als .txt bestand"
"Last 100 debug log records","Laatste 100 debug log regels"
"Last 100 error log records","Laatste 100 fout log regels"
"Failed to load data. Disable the ad blocker. If it didn't help, please contact us.","Het laden van de data is mislukt. Schakel uw adblocker uit, of neem contact op."
"Order data for PunchOut session","Bestel data voor PunchOut sessie"
"Debug Mode","Ontwikkelmode"
"Abeta API key","Abeta API sleutel"
"Return Button Label","Return Button Label"
"Default Shipping Method","Standaard Verzendmethode"
"Developed by Magmodules", "Ontwikkeld door Magmodules"
"Customer default billing address is not set.", "Het standaard factuuradres van de klant is niet ingesteld."
"Customer default shipping address is not set.", "Het standaard verzendadres van de klant is niet ingesteld."